"Profile_key","Age","T_stage","N_stage","M_stage","Surgery","Radiation","Risk_36m","Risk_60m","Risk_120m","Linear_predictor"
"<55|T1|N1|M0|Yes|No","<55","T1","N1","M0","Yes","No",0.0119153262575891,0.0192341029021483,0.0363683442614068,0.0995488613834223
"55-69|T1|N1|M0|Yes|No","55-69","T1","N1","M0","Yes","No",0.0187452683885053,0.0301946345267236,0.05680592453732,0.556123956277081
">=70|T1|N1|M0|Yes|No",">=70","T1","N1","M0","Yes","No",0.0452754078420184,0.0723205282535154,0.133413082059379,1.45157666536514
"<55|T2|N1|M0|Yes|No","<55","T2","N1","M0","Yes","No",0.0178422663325738,0.028748223777659,0.0541208110632833,0.506294244598439
"55-69|T2|N1|M0|Yes|No","55-69","T2","N1","M0","Yes","No",0.0280210638764962,0.0450045854075648,0.0840900256973527,0.962869339492098
">=70|T2|N1|M0|Yes|No",">=70","T2","N1","M0","Yes","No",0.0672215649280686,0.106624022978746,0.193510550994994,1.85832204858015
"<55|T3|N1|M0|Yes|No","<55","T3","N1","M0","Yes","No",0.0323244039121822,0.0518457374198452,0.0965646430952151,1.10794260063824
"55-69|T3|N1|M0|Yes|No","55-69","T3","N1","M0","Yes","No",0.0505497410755953,0.0806098381909989,0.148123615228914,1.5645176955319
">=70|T3|N1|M0|Yes|No",">=70","T3","N1","M0","Yes","No",0.119271629747842,0.185986827000981,0.324646810979607,2.45997040461995
"<55|T4|N1|M0|Yes|No","<55","T4","N1","M0","Yes","No",0.0519381302311654,0.0827871368058526,0.151967660566846,1.59233835387585
"55-69|T4|N1|M0|Yes|No","55-69","T4","N1","M0","Yes","No",0.0807512660060479,0.127524616143348,0.229118385685206,2.04891344876951
">=70|T4|N1|M0|Yes|No",">=70","T4","N1","M0","Yes","No",0.18629338185613,0.283959665113087,0.471194838571093,2.94436615785757
"<55|T1|N0|M1|Yes|No","<55","T1","N0","M1","Yes","No",0.0247333685465155,0.0397653574653067,0.0744814484184104,0.836385254391785
"55-69|T1|N0|M1|Yes|No","55-69","T1","N0","M1","Yes","No",0.0387651369967705,0.0620495526272213,0.115019675399728,1.29296034928544
">=70|T1|N0|M1|Yes|No",">=70","T1","N0","M1","Yes","No",0.0922651137518161,0.14516158314351,0.258570382907008,2.1884130583735
"<55|T2|N0|M1|Yes|No","<55","T2","N0","M1","Yes","No",0.0369160467913452,0.0591244332560493,0.109747715424558,1.2431306376068
"55-69|T2|N0|M1|Yes|No","55-69","T2","N0","M1","Yes","No",0.0576520823470199,0.0917270464156833,0.16766444211842,1.69970573250046
">=70|T2|N0|M1|Yes|No",">=70","T2","N0","M1","Yes","No",0.135315344272538,0.209876184149252,0.361949260492165,2.59515844158852
"<55|T3|N0|M1|Yes|No","<55","T3","N0","M1","Yes","No",0.066348005112093,0.105268051068399,0.191174002358718,1.8447789936466
"55-69|T3|N0|M1|Yes|No","55-69","T3","N0","M1","Yes","No",0.10271096755317,0.161043035712883,0.284623411504598,2.30135408854026
">=70|T3|N0|M1|Yes|No",">=70","T3","N0","M1","Yes","No",0.233066834151922,0.349449690405368,0.559611043124986,3.19680679762832
"<55|T4|N0|M1|Yes|No","<55","T4","N0","M1","Yes","No",0.10545020269537,0.165188768509055,0.291351350936546,2.32917474688422
"55-69|T4|N0|M1|Yes|No","55-69","T4","N0","M1","Yes","No",0.161312649598097,0.248005404662868,0.419393825921749,2.78574984177788
">=70|T4|N0|M1|Yes|No",">=70","T4","N0","M1","Yes","No",0.349961457718872,0.502356110637273,0.735833678466577,3.68120255086593
"<55|T1|N1|M1|Yes|No","<55","T1","N1","M1","Yes","No",0.0735724432081624,0.116458403104679,0.210360428075154,1.95197285205136
"55-69|T1|N1|M1|Yes|No","55-69","T1","N1","M1","Yes","No",0.113647131382119,0.177547496971663,0.311228254652734,2.40854794694502
">=70|T1|N1|M1|Yes|No",">=70","T1","N1","M1","Yes","No",0.255751737697368,0.38033978224641,0.598637769595204,3.30400065603308
"<55|T2|N1|M1|Yes|No","<55","T2","N1","M1","Yes","No",0.108434159304989,0.169695926289809,0.298631508464454,2.35871823526638
"55-69|T2|N1|M1|Yes|No","55-69","T2","N1","M1","Yes","No",0.165724863665691,0.254404783009407,0.428782079886641,2.81529333016004
">=70|T2|N1|M1|Yes|No",">=70","T2","N1","M1","Yes","No",0.358302671133836,0.512661169794169,0.746170034323317,3.71074603924809
"<55|T3|N1|M1|Yes|No","<55","T3","N1","M1","Yes","No",0.188994549580944,0.287806910276213,0.476601243211962,2.96036659130618
"55-69|T3|N1|M1|Yes|No","55-69","T3","N1","M1","Yes","No",0.28157794761125,0.414802754718947,0.640140491631325,3.41694168619984
">=70|T3|N1|M1|Yes|No",">=70","T3","N1","M1","Yes","No",0.555006536594533,0.730689892427282,0.918112714205889,4.31239439528789
"<55|T4|N1|M1|Yes|No","<55","T4","N1","M1","Yes","No",0.288249234490144,0.42358194528692,0.650368195668345,3.44476234454379
"55-69|T4|N1|M1|Yes|No","55-69","T4","N1","M1","Yes","No",0.415376415582196,0.580930099956209,0.809665391467018,3.90133743943745
">=70|T4|N1|M1|Yes|No",">=70","T4","N1","M1","Yes","No",0.731335825294292,0.881097884720552,0.982783708363472,4.79679014852551
"<55|T1|N0|M0|No|Yes","<55","T1","N0","M0","No","Yes",0.0161158292604586,0.0259805548499011,0.0489727956614656,0.403650439599066
"55-69|T1|N0|M0|No|Yes","55-69","T1","N0","M0","No","Yes",0.0253224846425032,0.0407049719426337,0.0762081819306393,0.860225534492726
">=70|T1|N0|M0|No|Yes",">=70","T1","N0","M0","No","Yes",0.0608679672009342,0.0967437877999677,0.17641175250972,1.75567824358078
"<55|T2|N0|M0|No|Yes","<55","T2","N0","M0","No","Yes",0.0241065546774079,0.0387652300739109,0.0726418246859187,0.810395822814083
"55-69|T2|N0|M0|No|Yes","55-69","T2","N0","M0","No","Yes",0.0377896678569292,0.0605068695111608,0.112241145005717,1.26697091770774
">=70|T2|N0|M0|No|Yes",">=70","T2","N0","M0","No","Yes",0.0900080057934581,0.141715004721333,0.252857853096142,2.1624236267958
"<55|T3|N0|M0|No|Yes","<55","T3","N0","M0","No","Yes",0.0435592759777067,0.0696172631687795,0.128589858992259,1.41204417885388
"55-69|T3|N0|M0|No|Yes","55-69","T3","N0","M0","No","Yes",0.0678931669469389,0.107665973150406,0.195303806638642,1.86861927374754
">=70|T3|N0|M0|No|Yes",">=70","T3","N0","M0","No","Yes",0.158142748920707,0.243394937277611,0.412584895903551,2.7640719828356
"<55|T4|N0|M0|No|Yes","<55","T4","N0","M0","No","Yes",0.0697401436604577,0.110529045592374,0.200221537733094,1.8964399320915
"55-69|T4|N0|M0|No|Yes","55-69","T4","N0","M0","No","Yes",0.107852019091162,0.168817358157585,0.297215213474836,2.35301502698516
">=70|T4|N0|M0|No|Yes",">=70","T4","N0","M0","No","Yes",0.243781114432554,0.364111027196273,0.57834902379039,3.24846773607321
"<55|T1|N1|M0|No|Yes","<55","T1","N1","M0","No","Yes",0.048366945883618,0.0771827425052825,0.142056286393163,1.51923803725864
